Road Category,Type of Network Intervention,Number of Province,Geographical Profile,Natura 2000 (Post 1998),EHS/GHS,GDP,3 years Average GDP Growth,RDP,Population,Change of Power,Ideoogy ,c/km2,Duration (years)
National,Modification,1,Combination,No,Yes,340964,0.05110686,0.1029,1876299,Yes,Center-Left,4768.926625,10.49
National,Modification,1,Rural,No,Yes,579212,0.045676375,0.1474,2415946,No,Center,6594.468956,2.92
Provincial,Modification,1,Urban,No,Yes,325341,0.045099165,0.0593,1050389,Yes,Center-Left,3553.652505,10.34
National,Modification,1,Rural,No,Yes,613280,0.053921893,0.1810,2613070,No,Center,11666.43374,3.08
National,Modification,1,Urban,No,No,617540,0.022397292,0.2117,3481558,No,Center,13513.1658,1.18
National,New,1,Rural,No,No,325341,0.045099165,0.0642,1130050,Yes,Center-Left,4648.614773,8.51
Provincial,Modification,1,Rural,No,Yes,325341,0.05110686,0.1814,2463611,Yes,Center-Left,8829.972099,9.08
Provincial,Modification,1,Urban,No,No,293610,0.04235228,0.1830,2440165,No,Center,8480.177376,5.62
National,Modification,1,Combination,No,Yes,308909,0.04235228,0.2204,3313193,Yes,Center-Left,9668.005803,3.51
National,New,1,Rural,No,Yes,285059,0.053703539,0.1494,2225331,No,Center,4064.157142,4.63
Provincial,Modification,1,Rural,No,Yes,494501,0.060448747,0.2145,3423780,Yes,Center,12523.82684,7.84
Provincial,New,1,Combination,No,Yes,494501,0.060448747,0.0316,636184,Yes,Center,3235.22839,4.25
Provincial,Modification,2,Rural,No,Yes,579212,0.045676375,0.0687,1058523,No,Center,7387.079503,4.05
Provincial,Modification,1,Rural,No,Yes,389315,0.06755634,0.0207,369949,No,Center-Left,2003.009586,7.00
Provincial,New,1,Rural,No,Yes,506671,0.041956742,0.0212,378348,No,Center,2222.7945,3.84
National,Modification,1,Rural,Yes,Yes,639163,0.054203372,0.0844,1201350,No,Center,10836.177,9.67
National,Modification,1,Rural,No,Yes,494501,0.060448747,0.1856,2559477,Yes,Center,11476.36461,4.00
National,Modification,1,Rural,No,Yes,364961,0.061710222,0.1035,1886109,Yes,Center-Left,4885.546229,12.76
National,Modification,1,Urban,No,No,340964,0.05110686,0.2166,3332860,Yes,Center-Left,10794.92708,4.59
National,New,1,Combination,No,No,523939,0.032014268,0.2151,3451942,No,Center,12929.6424,6.00
National,Modification,1,Urban,No,Yes,523939,0.032014268,0.0628,1139335,No,Center,6852.056972,6.00
National,Modification,1,Urban,No,Yes,613280,0.053921893,0.1810,2613070,No,Center,11666.43374,4.33
National,Modification,1,Rural,No,Yes,340964,0.05110686,0.1029,1876299,Yes,Center-Left,4768.926625,12.42
Provincial,Modification,1,Rural,No,Yes,642929,0.002291302,0.0172,391967,Yes,Center-Right ,5683.5215,2.92
National,Modification,1,Combination,No,No,617540,0.022397292,0.1029,1991062,No,Center,6039.115205,4.58
Provincial,Modification,2,Combination,No,Yes,545609,0.033350577,0.2783,3081442,No,Center,10857.72655,6.67
Provincial,Modification,1,Rural,No,No,617540,0.022397292,0.0314,644811,No,Center,3645.96837,2.42
Provincial,Modification,1,Combination,No,No,631512,0.010333096,0.0596,1130345,Yes,Center-Right ,5305.70102,3.59
National,Modification,1,Rural,No,Yes,639163,0.054203372,0.0844,1201350,No,Center,10836.177,2.53
National,Modification,1,Combination,No,Yes,639163,0.054203372,0.0844,1201350,No,Center,10836.177,7.25
National,Modification,2,Combination,Yes,Yes,523939,0.032014268,0.2367,2947169,No,Center,16046.2402,5.32
National,Modification,1,Urban,Yes,Yes,639163,0.054203372,0.1013,1983869,No,Center,5925.330589,7.51
National,Modification,1,Combination,No,Yes,639163,0.054203372,0.2133,3461435,No,Center,13229.72191,5.42
National,Modification,1,Rural,No,No,652748,0.011103421,0.2103,3563935,No,Center-Right ,14501.52862,0.84
National,New,1,Urban,No,No,642929,0.002291302,0.2090,3528324,Yes,Center-Right ,14113.296,4.67
National,New,1,Combination,Yes,Yes,617540,0.022397292,0.0594,1122604,No,Center,6948.008541,1.00
National,Modification,1,Urban,No,No,663008,0.010316531,0.1827,2741369,No,Center-Right ,13175.35509,0.54
National,Modification,1,Urban,No,No,285059,0.044177598,0.0366,555226,No,Center,2833.285618,9.68
National,Modification,1,Urban,No,No,617540,0.022397292,0.0457,574092,No,Center,4456.51078,3.67
National,Modification,2,Rural,No,Yes,613280,0.053921893,0.0855,3609646,No,Center,17688.11098,8.59
National,Modification,1,Rural,No,Yes,414838,0.06755634,0.0651,1139302,No,Center-Left,6406.509797,7.00
National,Modification,2,Rural,No,Yes,414838,0.06755634,0.4374,5881928,No,Center-Left,22044.72319,6.00
National,Modification,2,Rural,No,Yes,414838,0.06755634,0.3234,3005500,No,Center-Left,15051.75706,4.73
National,Modification,3,Rural,No,Yes,308909,0.045099165,0.4736,7424374,Yes,Center-Left,17719.3575,5.00
National,Modification,1,Rural,No,Yes,414838,0.06755634,0.1495,2337709,No,Center-Left,6006.828424,3.75
National,Modification,2,Combination,No,Yes,414838,0.06755634,0.1909,3005500,No,Center-Left,15051.75706,3.00
National,Modification,2,Rural,No,No,414838,0.06755634,0.1618,2977222,No,Center-Left,9701.79829,5.00
National,Modification,2,Rural,Yes,No,652748,0.011103421,0.1603,3155141,No,Center-Right ,11929.64657,3.27
Provincial,Modification,1,Combination,No,No,494501,0.060448747,0.0316,636184,Yes,Center,3235.22839,3.05
National,Modification,1,Urban,No,No,579212,0.045676375,0.1474,2415946,No,Center,6594.468956,1.81
National,Modification,1,Rural,Yes,Yes,652748,0.011103421,0.1500,2471011,No,Center-Right ,7244.206161,1.00
Provincial,Modification,1,Rural,No,No,642929,0.002291302,0.0596,1134465,Yes,Center-Right ,5371.34449,4.01
National,Modification,1,Rural,No,Yes,414838,0.06755634,0.1495,2337709,No,Center-Left,6006.828424,8.22
National,Modification,1,Urban,No,Yes,545609,0.033350577,0.1857,2599103,No,Center,11495.00193,4.59
National,Modification,1,Rural,No,Yes,506671,0.041956742,0.2151,3439982,No,Center,12764.14374,0.76
National,Modification,2,Rural,No,Yes,340964,0.057197969,0.1858,2946884,Yes,Center-Left,13881.34779,8.00
National,Modification,1,Rural,No,No,545609,0.033350577,0.1857,2599103,No,Center,11495.00193,4.67
National,Modification,1,Urban,No,No,545609,0.033350577,0.1857,2599103,No,Center,11495.00193,1.00
National,Modification,1,Combination,No,No,683457,0.019438693,0.2147,3577032,No,Center-Right ,14775.69732,2.17
National,Modification,1,Combination,No,Yes,545609,0.033350577,0.2172,3458381,No,Center,13014.43376,2.20
National,Modification,1,Rural,No,Yes,285059,0.053703539,0.1494,2225331,No,Center,4064.157142,2.57
National,New,1,Combination,No,Yes,545609,0.033350577,0.2172,3458381,No,Center,13014.43376,9.50
National,New,1,Rural,No,No,272796,0.053703539,0.1045,1816935,No,Center,3371.531791,5.43
National,New,1,Urban,No,No,257943,0.053703539,0.2020,3219839,No,Center,8790.671556,4.55
Provincial,New,1,Rural,No,No,545609,0.033350577,0.0164,365859,No,Center,4756.167,1.14
Provincial,Modification,1,Combination,No,No,325341,0.045099165,0.0440,557995,Yes,Center-Left,2885.631286,2.67
National,Modification,2,Rural,No,Yes,308909,0.04235228,0.1038,3384966,Yes,Center-Left,8900.440561,5.35
National,Modification,1,Rural,Yes,Yes,639163,0.054203372,0.1460,2424827,No,Center,6792.527807,3.22
Provincial,Modification,1,Rural,No,No,272796,0.053703539,0.0262,443510,No,Center,1789.511279,9.76
Provincial,New,1,Rural,No,No,285059,0.053703539,0.0675,1115485,No,Center,4300.814389,3.13
Provincial,Modification,1,Rural,No,Yes,293610,0.044177598,0.0342,603998,No,Center,2255.354234,3.17
National,Modification,1,Rural,No,Yes,523939,0.032014268,0.1011,1966929,No,Center,5752.593719,3.94
National,Modification,2,Combination,No,Yes,506671,0.041956742,0.1886,3112640,No,Center,16049.81478,5.30
National,Modification,2,Rural,No,Yes,506671,0.041956742,0.3015,4592200,No,Center,23134.11,2.30
National,Modification,1,Combination,No,Yes,506671,0.041956742,0.0864,1152218,No,Center,10369.962,1.87
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
