No,Startnotitie,Decision to start,Road Category,Type of Network Intervention,Number of Province,Tracewet 2005,Geographical Profile,Natura 2000 (Post 1998),EHS/GHS,GDP,3 years Average GDP Growth,RDP,Population,Previous Election year,Change of Power,c/km2,Idea ,Above Average?
54,A4 Vlietland-N14,2013,National,Modification,1,Yes,Rural,No,No,652748,0.011103421,0.2103,3563935,2012,No,14501.52862,Center-Right ,NO
55,A15/A24 Blankenburgverbinding,2011,National,New,1,Yes,Urban,No,No,642929,0.002291302,0.2090,3528324,2010,Yes,14113.296,Center-Right ,NO
56,A76 Ansluiting Nuth,2009,National,New,1,Yes,Combination,Yes,Yes,617540,0.022397292,0.0594,1122604,2006,No,6948.008541,Center,NO
57,Zuidasdok,2014,National,Modification,1,Yes,Urban,No,No,663008,0.010316531,0.1827,2741369,2012,No,13175.35509,Center-Right ,NO
58,A7 Zuidelijke Ringweg Groningen Fase 1,1992,National,Modification,1,No,Urban,No,No,285059,0.044177598,0.0366,555226,1989,No,2833.285618,Center,YES
59,A7 Zuidelijke Ringweg Groningen Fase 2,2009,National,Modification,1,Yes,Urban,No,No,617540,0.022397292,0.0457,574092,2006,No,4456.51078,Center,NO
60,A27 Lunetten-Hooipolder,2007,National,Modification,2,Yes,Rural,No,Yes,613280,0.053921893,0.0855,3609646,2006,No,17688.11098,Center,YES
61,A2 Grathem - Urmond,1999,National,Modification,1,No,Rural,No,Yes,414838,0.06755634,0.0651,1139302,1998,No,6406.509797,Center-Left,YES
62,A4 De Hoek - Prins Clausplein route,1999,National,Modification,2,No,Rural,No,Yes,414838,0.06755634,0.4374,5881928,1998,No,22044.72319,Center-Left,YES
63,A2 Oudenrijn-Deil,1999,National,Modification,2,No,Rural,No,Yes,414838,0.06755634,0.3234,3005500,1998,No,15051.75706,Center-Left,NO
64,A2: Everdingen junction Deil junction (future) Zaltbommel junction Empel junction,1994,National,Modification,3,No,Rural,No,Yes,308909,0.045099165,0.4736,7424374,On Election,Yes,17719.3575,Center-Left,YES
65,A2: route 's-Hertogenbosch - Eindhoven,1999,National,Modification,1,No,Rural,No,Yes,414838,0.06755634,0.1495,2337709,1998,No,6006.828424,Center-Left,NO
66,A1: Eemnes - Barneveld,1999,National,Modification,2,No,Combination,No,Yes,414838,0.06755634,0.1909,3005500,1998,No,15051.75706,Center-Left,NO
67,A1 Barneveld - Deventer,1999,National,Modification,2,No,Rural,No,No,414838,0.06755634,0.1618,2977222,1998,No,9701.79829,Center-Left,YES
68,A1 Apeldoorn - Azelo,2013,National,Modification,2,Yes,Rural,Yes,No,652748,0.011103421,0.1603,3155141,2012,No,11929.64657,Center-Right ,NO
69,N31 Zurich - Harlingen,2002,Provincial,Modification,1,No,Combination,No,No,494501,0.060448747,0.0316,636184,On Election,Yes,3235.22839,Center,NO
70,A2 Meerenakkerweg,2006,National,Modification,1,Yes,Urban,No,No,579212,0.045676375,0.1474,2415946,On Election,No,6594.468956,Center,NO
71,A59 Brug over het Drongelens Kanaal,2013,National,Modification,1,Yes,Rural,Yes,Yes,652748,0.011103421,0.1500,2471011,2012,No,7244.206161,Center-Right ,NO
72,N35 Nijverdal-Wierden,2011,Provincial,Modification,1,Yes,Rural,No,No,642929,0.002291302,0.0596,1134465,2010,Yes,5371.34449,Center-Right ,NO
73,A2 Leenderheide - Budel,1999,National,Modification,1,No,Rural,No,Yes,414838,0.06755634,0.1495,2337709,1998,No,6006.828424,Center-Left,YES
74,A1 t' Gooi,2005,National,Modification,1,Yes,Urban,No,Yes,545609,0.033350577,0.1857,2599103,2003,No,11495.00193,Center,NO
75,A27 Gorinchem - Noordeloos,2003,National,Modification,1,No,Rural,No,Yes,506671,0.041956742,0.2151,3439982,On Election,No,12764.14374,Center,NO
76,A12 Veenendaal-Ede,1996,National,Modification,2,No,Rural,No,Yes,340964,0.057197969,0.1858,2946884,1994,Yes,13881.34779,Center-Left,YES
77,A4 Badhoevedorp-Nieuwe Meer,2005,National,Modification,1,Yes,Rural,No,No,545609,0.033350577,0.1857,2599103,2003,No,11495.00193,Center,NO
78,A1 Watergraafsmeer - Diemen,2005,National,Modification,1,Yes,Urban,No,No,545609,0.033350577,0.1857,2599103,2003,No,11495.00193,Center,NO
79,A15 Papendrecht - Sliedrecht,2015,National,Modification,1,Yes,Combination,No,No,683457,0.019438693,0.2147,3577032,2012,No,14775.69732,Center-Right ,NO
80,A15 Papendrecht - Hardinxveld-Giessendam - Gorinchem,2005,National,Modification,1,Yes,Combination,No,Yes,545609,0.033350577,0.2172,3458381,2003,No,13014.43376,Center,NO
81,A59 Rosmalen-Geffen ,1992,National,Modification,1,No,Rural,No,Yes,285059,0.053703539,0.1494,2225331,1989,No,4064.157142,Center,NO
82,A16 Rotterdam,2005,National,New,1,Yes,Combination,No,Yes,545609,0.033350577,0.2172,3458381,2006,No,13014.43376,Center,YES
83,A15 knooppunt Ressen-rijksweg 12,1991,National,New,1,No,Rural,No,No,272796,0.053703539,0.1045,1816935,1989,No,3371.531791,Center,YES
84,RIJKSWEG 14 'VERLENGDE LANDSCHEIDINGSWEG' ,1990,National,New,1,No,Urban,No,No,257943,0.053703539,0.2020,3219839,1989,No,8790.671556,Center,NO
85,N23 Lelystad-Dronten,2005,Provincial,New,1,Yes,Rural,No,No,545609,0.033350577,0.0164,365859,2006,No,4756.167,Center,NO
86,"N33, Spijk - Eemshaven",1995,Provincial,Modification,1,No,Combination,No,No,325341,0.045099165,0.0440,557995,1994,Yes,2885.631286,Center-Left,NO
87,"Rijksweg 69, Eindhoven - Belgische",1994,National,Modification,2,No,Rural,No,Yes,308909,0.04235228,0.1038,3384966,On Election,Yes,8900.440561,Center-Left,YES
88,A2: route 's-Hertogenbosch - Eindhoven,2008,National,Modification,1,Yes,Rural,Yes,Yes,639163,0.054203372,0.1460,2424827,2006,No,6792.527807,Center,NO
89,RIJKSWEG 37 EN RIJKSWEG 34 (GEDEELTE HOLSLOOT-EMMEN-ZUID),1991,Provincial,Modification,1,No,Rural,No,No,272796,0.053703539,0.0262,443510,1989,No,1789.511279,Center,YES
90,Rijksweg 73-Zuid,1992,Provincial,New,1,No,Rural,No,No,285059,0.053703539,0.0675,1115485,1989,No,4300.814389,Center,NO
91,"rijksweg 31, gedeelte Leeuwarden–Drachten",1993,Provincial,Modification,1,No,Rural,No,Yes,293610,0.044177598,0.0342,603998,1989,No,2255.354234,Center,NO
92,A1 Hoevelaken - Barneveld,2004,National,Modification,1,No,Rural,No,Yes,523939,0.032014268,0.1011,1966929,2003,No,5752.593719,Center,NO
93,A28 Leusden Zuid - A1 Hoevelaken,2003,National,Modification,2,No,Combination,No,Yes,506671,0.041956742,0.1886,3112640,On Election,No,16049.81478,Center,YES
94,A12 Woerden - Gouwe,2003,National,Modification,2,No,Rural,No,Yes,506671,0.041956742,0.3015,4592200,On Election,No,23134.11,Center,NO
95,A27 Plusstrook Utrecht richting Eemnes,2003,National,Modification,1,No,Combination,No,Yes,506671,0.041956742,0.0864,1152218,On Election,No,10369.962,Center,NO
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,GR,,,,,,,,,,,,,,,,
,,FR,,,,,,,,,,,,,,,,
,,DR,,,,,,,,,,,,,,,,
,,OV,,,,,,,,,,,,,,,,
,,FL,,,,,,,,,,,,,,,,
,,GE,,,,,,,,,,,,,,,,
,,U,,,,,,,,,,,,,,,,
,,NH,,,,,,,,,,,,,,,,
,,ZH,,,,,,,,,,,,,,,,
,,ZL,,,,,,,,,,,,,,,,
,,NB,,,,,,,,,,,,,,,,
,,L,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
